time,price,volume
2020-04-28 09:58:00,49850,77939
2020-04-28 09:57:00,49950,17283
2020-04-28 09:56:00,49950,4924
2020-04-28 09:55:00,49950,7229
2020-04-28 09:54:00,49950,12256
2020-04-28 09:53:00,49950,98246
2020-04-28 09:52:00,50000,10991
2020-04-28 09:51:00,50000,130662
2020-04-28 09:50:00,50000,226523
2020-04-28 09:49:00,49950,10580
2020-04-28 09:48:00,50000,12632
2020-04-28 09:47:00,49950,13406
2020-04-28 09:46:00,50000,11486
2020-04-28 09:45:00,50000,13899
2020-04-28 09:44:00,49950,68725
2020-04-28 09:43:00,49950,19312
2020-04-28 09:42:00,49950,113261
2020-04-28 09:41:00,49900,31063
2020-04-28 09:40:00,49850,5854
2020-04-28 09:39:00,49900,18532
2020-04-28 09:38:00,49900,8667
2020-04-28 09:37:00,49900,5616
2020-04-28 09:36:00,49850,27038
2020-04-28 09:35:00,49900,6748
2020-04-28 09:34:00,49900,16925
2020-04-28 09:33:00,49900,19013
2020-04-28 09:32:00,49850,26463
2020-04-28 09:31:00,49850,68455
2020-04-28 09:30:00,49850,26184
2020-04-28 09:29:00,49850,70168
2020-04-28 09:28:00,49800,64226
2020-04-28 09:27:00,49800,105661
2020-04-28 09:26:00,49850,12314
2020-04-28 09:25:00,49850,12837
2020-04-28 09:24:00,49900,70667
2020-04-28 09:23:00,49900,15791
2020-04-28 09:22:00,49950,10136
2020-04-28 09:21:00,49950,42490
2020-04-28 09:20:00,49900,15585
2020-04-28 09:19:00,49900,114874
2020-04-28 09:18:00,49900,39985
2020-04-28 09:17:00,49850,73102
2020-04-28 09:16:00,49800,21428
2020-04-28 09:15:00,49850,84295
2020-04-28 09:14:00,49750,65102
2020-04-28 09:13:00,49700,32567
2020-04-28 09:12:00,49700,72117
2020-04-28 09:11:00,49750,17509
2020-04-28 09:10:00,49750,23296
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
2020-04-28 09:03:00,49800,131862
2020-04-28 09:02:00,49600,117851
2020-04-28 09:01:00,49650,261687
2020-04-28 09:00:00,49800,531389
2020-04-28 09:09:00,49700,56643
2020-04-28 09:08:00,49650,106191
2020-04-28 09:07:00,49750,92420
2020-04-28 09:06:00,49750,83486
2020-04-28 09:05:00,49750,109123
2020-04-28 09:04:00,49700,179035
